Name,Index
"Babyfood, cereal, mixed, with applesauce and bananas, junior, fortified",170967
"Babyfood, cereal, oatmeal, dry fortified",171360
"Babyfood, cereal, oatmeal, with bananas, dry",171361
"Babyfood, cereal, oatmeal, with applesauce and bananas, strained",171362
"Babyfood, cereal, oatmeal, with applesauce and bananas, junior, fortified",171363
"Babyfood, cereal, oatmeal, with honey, dry",170968
"Babyfood, cereal, rice, dry fortified",170969
"Babyfood, cereal, rice, with applesauce and bananas, strained",170970
"Babyfood, cereal, with egg yolks, strained",170971
"Babyfood, cereal, with egg yolks, junior",171364
"Babyfood, cereal, with eggs, strained",171365
"Babyfood, cereal, egg yolks and bacon, junior",171366
"Babyfood, oatmeal cereal with fruit, dry, instant, toddler fortified",171367
"Babyfood, cookie, baby, fruit",171368
"Babyfood, crackers, vegetable",170972
"Babyfood, cereal, high protein, with apple and orange, dry",170973
"Babyfood, cereal, rice, with bananas, dry",170974
"Babyfood, cookies",170975
"Babyfood, cookies, arrowroot",171369
"Babyfood, pretzels",171370
"Babyfood, GERBER, GRADUATES Lil Biscuits Vanilla Wheat",171371
Zwieback,171372
"Babyfood, dessert, dutch apple, strained",170976
"Babyfood, dessert, dutch apple, junior",170977
"Babyfood, cherry cobbler, junior",170978
"Babyfood, dessert, cherry vanilla pudding, strained",170979
"Babyfood, dessert, cherry vanilla pudding, junior",171373
"Babyfood, dessert, fruit pudding, orange, strained",171374
"Babyfood, dessert, peach cobbler, strained",171375
"Babyfood, dessert, peach cobbler, junior",171376
"Babyfood, dessert, peach melba, strained",170980
"Babyfood, dessert, peach melba, junior",170981
"Babyfood, dessert, fruit pudding, pineapple, strained",170982
"Babyfood, dessert, fruit dessert, without ascorbic acid, strained",170983
"Babyfood, dessert, fruit dessert, without ascorbic acid, junior",171377
"Babyfood, dessert, tropical fruit, junior",171378
"Babyfood, dessert, custard pudding, vanilla, strained",171379
"Babyfood, dessert, custard pudding, vanilla, junior",171380
"Babyfood, juice, apple and grape",171381
"Babyfood, juice, fruit punch, with calcium",170984
"Babyfood, juice, apple, with calcium",170985
"Babyfood, dinner, vegetables and chicken, junior",173513
"Babyfood, dinner, mixed vegetable, strained",173514
"Babyfood, dinner, mixed vegetable, junior",172281
"Babyfood, fruit, bananas with tapioca, junior",172282
"Babyfood, vegetables, mix vegetables junior",172283
"Babyfood, vegetables, garden vegetable, strained",172284
"Babyfood, vegetables, mix vegetables strained",173515
"Babyfood, dinner, beef noodle, junior",173516
"Babyfood, apples with ham, strained",173517
"Babyfood, carrots and beef, strained",173518
"Babyfood, plums, bananas and rice, strained",172285
"Babyfood, dinner, turkey, rice, and vegetables, toddler",172286
"Babyfood, dinner, apples and chicken, strained",172287
"Babyfood, dinner, broccoli and chicken, junior",172288
"Babyfood, beverage, GERBER, GRADUATES, FRUIT SPLASHERS",173519
"Babyfood, snack, GERBER, GRADUATES, YOGURT MELTS",173520
"Babyfood, dinner, sweet potatoes and chicken, strained",173521
"Infant formula, MEAD JOHNSON, Enfamil 24, ready to feed, with ARA and DHA",173522
"Infant formula, MEAD JOHNSON, Enfamil Enspire Powder, with ARA and DHA, not reconstituted",173523
"Infant formula, MEAD JOHNSON, Enfamil Premature High Protein 24 Calories, ready to feed, with ARA and DHA",172289
"Infant formula, MEAD JOHNSON, Enfamil Premature 30 Calories, ready to feed, with ARA and DHA",172290
"Infant formula, MEAD JOHNSON, Enfamil for Supplementing, powder, with ARA and DHA, not reconstituted",172291
"Infant formula, MEAD JOHNSON, Enfamil Reguline Powder, with ARA and DHA, not reconstituted",172292
"Infant formula, MEAD JOHNSON, Enfamil Reguline, ready to feed, with ARA and DHA",173524
"Infant formula, MEAD JOHNSON, Gentlease, ready to feed, with ARA and DHA",173525
"Toddler formula, MEAD JOHNSON, Nutramigen Toddler with LGG Powder, with ARA and DHA, not reconstituted",173526
"Infant formula, MEAD JOHNSON, Pregestimil 20 Calories, ready to feed, with ARA and DHA",173527
"Infant formula, MEAD JOHNSON, Pregestimil 24 Calories, ready to feed, with ARA and DHA",172293
"Toddler drink, MEAD JOHNSON, PurAmino Toddler Powder, with ARA and DHA, not reconstituted",172294
"Infant formula, MEAD JOHNSON, Enfamil for Supplementing, ready to feed, with ARA and DHA",172295
"Babyfood, cereal, barley, prepared with whole milk",172296
"Babyfood, cereal, high protein, prepared with whole milk",173528
"Babyfood, cereal, mixed, prepared with whole milk",173529
"Babyfood, cereal, mixed, with bananas, prepared with whole milk",173530
"Babyfood, cereal, oatmeal, prepared with whole milk",173531
"Babyfood, cereal, oatmeal, with bananas, prepared with whole milk",172297
"Babyfood, cereal, oatmeal, with honey, prepared with whole milk",172298
"Babyfood, cereal, rice, prepared with whole milk",172299
"Babyfood, cereal, rice, with honey, prepared with whole milk",172300
"Babyfood, cereal, mixed, with honey, prepared with whole milk",173532
"Babyfood, cereal, high protein, with apple and orange, prepared with whole milk",173533
"Babyfood, cereal, rice, with bananas, prepared with whole milk",173534
"Infant formula, NESTLE, GOOD START SUPREME, with iron, liquid concentrate, not reconstituted",173535
"Infant formula, NESTLE, GOOD START SUPREME, with iron, powder",173536
"Infant formula, MEAD JOHNSON, ENFAMIL, with iron, powder",172301
"Infant formula, MEAD JOHNSON, ENFAMIL, Infant, with iron, powder, with ARA and DHA",172302
"Infant formula, MEAD JOHNSON, ENFAMIL, Infant, with iron, liquid concentrate, with ARA and DHA, reconstituted",172303
"Infant formula, MEAD JOHNSON, ENFAMIL LIPIL, with iron, ready-to-feed, with ARA and DHA",172304
"Infant formula, MEAD JOHNSON, ENFAMIL, LIPIL, low iron, liquid concentrate, with ARA and DHA",173537
"Infant formula, MEAD JOHNSON, PREGESTIMIL, with iron, powder, with ARA and DHA, not reconstituted",173538
"Infant formula, MEAD JOHNSON, PREGESTIMIL, with iron, with ARA and DHA, prepared from powder",173539
"Infant formula, MEAD JOHNSON, PROSOBEE, with iron, ready-to-feed",173540
"Infant formula, MEAD JOHNSON, ENFAMIL, LIPIL, low iron, ready to feed, with ARA and DHA",172305
"Infant formula, MEAD JOHNSON, ENFAMIL, Infant, ready-to-feed, with ARA and DHA",172306
"Infant formula, ABBOTT NUTRITION, SIMILAC, PM 60/40, powder not reconstituted",172307
"Infant formula, MEAD JOHNSON, ENFAMIL, NUTRAMIGEN WITH LGG, with iron, powder, not reconstituted, with ARA and DHA",172308
"Infant formula, ABBOTT NUTRITION, SIMILAC, ISOMIL, with iron, ready-to-feed",173541
"Infant formula, ABBOTT NUTRITION, SIMILAC, ISOMIL, with iron, liquid concentrate",173542
"Infant formula, ABBOTT NUTRITION, SIMILAC, ISOMIL, with iron, powder, not reconstituted",173543
"Infant formula, MEAD JOHNSON, ENFAMIL, NUTRAMIGEN, with iron, liquid concentrate not reconstituted, with ARA and DHA",173544
